[2.4892  Replica 0001]: sending heartbeat
[2.4927  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[2.4928  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[2.4938  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[2.4939  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[2.6271  Replica 0001]: sending heartbeat
[2.6317  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[2.6317  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[2.6318  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[2.6318  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[2.7718  Replica 0001]: sending heartbeat
[2.8188  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[2.8194  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[2.8194  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[2.8195  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[2.9147  Replica 0001]: sending heartbeat
[2.9185  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[2.9185  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[2.9185  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[2.9187  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[3.0550  Replica 0001]: sending heartbeat
[3.0588  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[3.0589  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[3.0589  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[3.0589  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[3.1938  Replica 0001]: sending heartbeat
[3.1984  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[3.1984  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[3.1987  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[3.1988  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[3.3331  Replica 0001]: sending heartbeat
[3.3433  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[3.3433  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[3.3433  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[3.3434  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[3.4764  Replica 0001]: sending heartbeat
[3.4799  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[3.4799  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[3.4803  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[3.4803  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[3.6174  Replica 0001]: sending heartbeat
[3.6242  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[3.6242  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[3.6247  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[3.6248  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[3.7564  Replica 0001]: sending heartbeat
[3.7636  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[3.7636  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[3.7636  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[3.7637  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[3.8974  Replica 0001]: sending heartbeat
[3.9021  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[3.9022  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[3.9022  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[3.9022  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[4.0349  Replica 0001]: sending heartbeat
[4.0405  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[4.0405  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[4.0405  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[4.0406  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[4.1743  Replica 0001]: sending heartbeat
[4.1793  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[4.1794  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[4.1794  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[4.1794  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[4.3143  Replica 0001]: sending heartbeat
[4.3186  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[4.3186  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[4.3186  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[4.3187  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[4.4521  Replica 0001]: sending heartbeat
[4.4565  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[4.4565  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[4.4565  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[4.4567  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[4.5895  Replica 0001]: sending heartbeat
[4.5939  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0003
[4.5940  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[4.5944  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0000
[4.5944  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
[4.7292  Replica 0001]: sending heartbeat
[4.7340  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0004
[4.7340  Replica 0001]: received confirmation that key indexes up to -1 are replicated on 0002
